activity,company,participates,company_total_revenue_usd_bn,company_operating_margin_pct,activity_revenue_estimate_usd_bn,financial_source_url,activity_source_url,notes
Foundry Services,Intel,1,52.9,-0.6,4.8,https://www.intc.com/filings-reports/all-sec-filings/content/0000050863-26-000008/intc-20251227.htm,https://www.trendforce.com/presscenter/news/20240215-12033.html,Estimated from segment disclosures and product mix
Foundry Services,AMD,0,34.6,7.8,0.0,https://ir.amd.com/financial-information/sec-filings/content/0000002488-26-000018/amd-20251227.htm,https://www.trendforce.com/presscenter/news/20240215-12033.html,No material direct revenue disclosed
Foundry Services,Nvidia,0,60.9,54.1,0.0,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000086/nvda-20250126.htm,https://www.trendforce.com/presscenter/news/20240215-12033.html,No material direct revenue disclosed
Foundry Services,Apple,0,391.0,31.5,0.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,https://www.trendforce.com/presscenter/news/20240215-12033.html,No material direct revenue disclosed
Foundry Services,Qualcomm,0,38.96,25.6,0.0,https://investor.qualcomm.com/financial-information/sec-filings/content/0000804328-24-000067/qcom-20240929.htm,https://www.trendforce.com/presscenter/news/20240215-12033.html,No material direct revenue disclosed
Foundry Services,Amazon,0,637.96,10.8,0.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/1018724/000101872425000008/amzn-20241231.htm,https://www.trendforce.com/presscenter/news/20240215-12033.html,No material direct revenue disclosed
Foundry Services,Google,0,350.0,32.0,0.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,https://www.trendforce.com/presscenter/news/20240215-12033.html,No material direct revenue disclosed
Foundry Services,Microsoft,0,245.1,44.6,0.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,https://www.trendforce.com/presscenter/news/20240215-12033.html,No material direct revenue disclosed
Foundry Services,TSMC,1,90.0,42.0,90.0,https://investor.tsmc.com/english/financial-calendar,https://www.trendforce.com/presscenter/news/20240215-12033.html,Estimated from segment disclosures and product mix
Foundry Services,Samsung,1,220.0,8.5,32.0,https://www.samsung.com/global/ir/financial-information/earnings-release/,https://www.trendforce.com/presscenter/news/20240215-12033.html,Estimated from segment disclosures and product mix
Foundry Services,Marvell,0,5.5,-7.0,0.0,https://investor.marvell.com/financial-information/sec-filings,https://www.trendforce.com/presscenter/news/20240215-12033.html,No material direct revenue disclosed
Foundry Services,Micron,0,25.1,-2.0,0.0,https://investors.micron.com/financials/sec-filings,https://www.trendforce.com/presscenter/news/20240215-12033.html,No material direct revenue disclosed
Foundry Services,IBM,0,62.8,16.5,0.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/51143/000005114325000010/ibm-20241231.htm,https://www.trendforce.com/presscenter/news/20240215-12033.html,No material direct revenue disclosed
Foundry Services,Texas Instruments,0,15.64,34.0,0.0,https://investor.ti.com/financial-information/annual-reports-and-proxies,https://www.trendforce.com/presscenter/news/20240215-12033.html,No material direct revenue disclosed
