activity,sector_specific_operating_margin_pct,benchmark_companies,margin_basis,estimated_TAM_usd_bn,estimated_profit_pool_usd_bn,margin_source_urls,tam_source_url,notes
Foundry Services,28.0,TSMC,"TSMC-like foundry economics proxy (capital intensive, high utilization periods).",230,64.4,https://investor.tsmc.com/english/annual-reports,https://www.trendforce.com/presscenter/news/20240215-12033.html,Sector-specific proxy margin; used where direct activity operating margin is not publicly disclosed in required taxonomy.
Advanced Packaging,24.0,TSMC; ASE,OSAT/advanced-packaging blended proxy using leading-edge packaging scarcity premium.,65,15.6,https://www.yolegroup.com/product/report/advanced-packaging-market-monitor/ | https://investor.tsmc.com/english/annual-reports,https://www.yolegroup.com/product/report/advanced-packaging-market-monitor/,Sector-specific proxy margin; used where direct activity operating margin is not publicly disclosed in required taxonomy.
Client Computing / PCs,22.0,Intel CCG; AMD Client,Client CPU/platform blended proxy using x86 client segment profitability through cycle.,220,48.4,https://www.intc.com/filings-reports/all-sec-filings | https://ir.amd.com/financial-information/sec-filings,https://www.idc.com/getdoc.jsp?containerId=prUS52088124,Sector-specific proxy margin; used where direct activity operating margin is not publicly disclosed in required taxonomy.
Data Center CPUs,30.0,Intel DCAI; AMD Data Center,Server CPU oligopoly proxy based on premium ASP and software lock-in dynamics.,95,28.5,https://www.intc.com/filings-reports/all-sec-filings | https://ir.amd.com/financial-information/sec-filings,https://www.mercuryresearch.com/,Sector-specific proxy margin; used where direct activity operating margin is not publicly disclosed in required taxonomy.
Data Center GPUs,52.0,Nvidia Data Center; AMD DC GPU,Accelerator GPU economics proxy anchored to Nvidia data center profitability profile.,185,96.2,https://www.nvidia.com/en-us/about-nvidia/investor-relations/ | https://ir.amd.com/financial-information/sec-filings,https://www.idc.com/getdoc.jsp?containerId=prUS52662025,Sector-specific proxy margin; used where direct activity operating margin is not publicly disclosed in required taxonomy.
AI/ML Accelerators,48.0,Nvidia; hyperscaler ASIC programs,Training/inference accelerator proxy; high gross margin but elevated R&D and networking attach costs.,260,124.8,https://www.nvidia.com/en-us/about-nvidia/investor-relations/ | https://www.gartner.com/en/newsroom/press-releases/2024-07-17-gartner-forecasts-worldwide-ai-semiconductor-revenue,https://www.gartner.com/en/newsroom/press-releases/2024-07-17-gartner-forecasts-worldwide-ai-semiconductor-revenue,Sector-specific proxy margin; used where direct activity operating margin is not publicly disclosed in required taxonomy.
Gaming Graphics,32.0,Nvidia Gaming; AMD Gaming,Discrete consumer GPU cycle-average operating margin proxy.,38,12.16,https://www.nvidia.com/en-us/about-nvidia/investor-relations/ | https://ir.amd.com/financial-information/sec-filings,https://www.jonpeddie.com/news/aib-add-in-board-market/,Sector-specific proxy margin; used where direct activity operating margin is not publicly disclosed in required taxonomy.
Networking & Interconnect,24.0,Marvell; Broadcom; Nvidia Networking,Networking silicon proxy from merchant switch/NIC/DPU suppliers.,78,18.72,https://investor.marvell.com/financial-information/sec-filings | https://www.nvidia.com/en-us/about-nvidia/investor-relations/,https://www.idc.com/getdoc.jsp?containerId=prUS52026624,Sector-specific proxy margin; used where direct activity operating margin is not publicly disclosed in required taxonomy.
Autonomous Vehicles & ADAS,18.0,Nvidia Auto; Qualcomm Auto,Automotive ADAS compute early-scale proxy with long qualification cycles.,55,9.9,https://investor.qualcomm.com/financial-information/sec-filings | https://www.nvidia.com/en-us/about-nvidia/investor-relations/,https://www.precedenceresearch.com/automotive-semiconductor-market,Sector-specific proxy margin; used where direct activity operating margin is not publicly disclosed in required taxonomy.
HPC & Scientific Computing,34.0,Nvidia; AMD; Intel,HPC accelerator/CPU mix proxy including government and enterprise supercomputing.,48,16.32,https://www.nvidia.com/en-us/about-nvidia/investor-relations/ | https://ir.amd.com/financial-information/sec-filings,https://top500.org/statistics/sublist/,Sector-specific proxy margin; used where direct activity operating margin is not publicly disclosed in required taxonomy.
