activity,participating_companies,weighted_avg_participant_operating_margin_pct,median_participant_operating_margin_pct,best_performer_company,best_performer_operating_margin_pct,proxy_operating_margin_used_pct,estimated_TAM_usd_bn,estimated_profit_pool_usd_bn,margin_estimation_method,source_urls,tam_source_url,notes
AI Ecosystem / Optimization Software,Nvidia; Google; Microsoft; Amazon; Intel,31.81,25.6,Nvidia,54.1,31.81,25,7.95,"Revenue-weighted average of participating companies' latest operating margins (from filings), sanity-checked against median and best performer.",https://www.intc.com/filings-reports/all-sec-filings/content/0000050863-26-000008/intc-20251227.htm | https://ir.amd.com/financial-information/sec-filings/content/0000002488-26-000018/amd-20251227.htm | https://www.sec.gov/Archives/edgar/data/1045810/000104581025000086/nvda-20250126.htm | https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm | https://investor.qualcomm.com/financial-information/sec-filings/content/0000804328-24-000067/qcom-20240929.htm | https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/1018724/000101872425000008/amzn-20241231.htm | https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm | https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm | https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/51143/000005114325000010/ibm-20241231.htm,https://www.bloomberg.com/news/articles/2024-03-18/nvidia-expands-software-and-services,Proxy estimate; company-level operating margin used as best available comparable for activity economics.
AI/ML Accelerators,Nvidia; Apple; AMD; Amazon; Google,43.37,21.05,Nvidia,54.1,43.37,260,112.76,"Revenue-weighted average of participating companies' latest operating margins (from filings), sanity-checked against median and best performer.",https://www.intc.com/filings-reports/all-sec-filings/content/0000050863-26-000008/intc-20251227.htm | https://ir.amd.com/financial-information/sec-filings/content/0000002488-26-000018/amd-20251227.htm | https://www.sec.gov/Archives/edgar/data/1045810/000104581025000086/nvda-20250126.htm | https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm | https://investor.qualcomm.com/financial-information/sec-filings/content/0000804328-24-000067/qcom-20240929.htm | https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/1018724/000101872425000008/amzn-20241231.htm | https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm | https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm | https://investor.marvell.com/financial-information/sec-filings | https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/51143/000005114325000010/ibm-20241231.htm,https://www.gartner.com/en/newsroom/press-releases/2024-07-17-gartner-forecasts-worldwide-ai-semiconductor-revenue,Proxy estimate; company-level operating margin used as best available comparable for activity economics.
Advanced Packaging,TSMC; Samsung; Intel; Nvidia; AMD,27.48,8.5,Nvidia,54.1,27.48,65,17.86,"Revenue-weighted average of participating companies' latest operating margins (from filings), sanity-checked against median and best performer.",https://www.intc.com/filings-reports/all-sec-filings/content/0000050863-26-000008/intc-20251227.htm | https://ir.amd.com/financial-information/sec-filings/content/0000002488-26-000018/amd-20251227.htm | https://www.sec.gov/Archives/edgar/data/1045810/000104581025000086/nvda-20250126.htm | https://investor.qualcomm.com/financial-information/sec-filings/content/0000804328-24-000067/qcom-20240929.htm | https://investor.tsmc.com/english/financial-calendar | https://www.samsung.com/global/ir/financial-information/earnings-release/ | https://investor.marvell.com/financial-information/sec-filings,https://www.yolegroup.com/product/report/advanced-packaging-market-monitor/,Proxy estimate; company-level operating margin used as best available comparable for activity economics.
Automotive Infotainment,Qualcomm; Samsung; Texas Instruments; Nvidia; Intel,24.61,28.55,Nvidia,54.1,28.55,28,7.99,"Revenue-weighted average of participating companies' latest operating margins (from filings), sanity-checked against median and best performer.",https://www.intc.com/filings-reports/all-sec-filings/content/0000050863-26-000008/intc-20251227.htm | https://www.sec.gov/Archives/edgar/data/1045810/000104581025000086/nvda-20250126.htm | https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm | https://investor.qualcomm.com/financial-information/sec-filings/content/0000804328-24-000067/qcom-20240929.htm | https://www.samsung.com/global/ir/financial-information/earnings-release/ | https://investor.ti.com/financial-information/annual-reports-and-proxies,https://www.counterpointresearch.com/insights/automotive-cockpit-soc/,Proxy estimate; company-level operating margin used as best available comparable for activity economics.
Autonomous Vehicles & ADAS,Qualcomm; Nvidia; TSMC; Samsung; Intel,29.42,25.6,Nvidia,54.1,29.42,55,16.18,"Revenue-weighted average of participating companies' latest operating margins (from filings), sanity-checked against median and best performer.",https://www.intc.com/filings-reports/all-sec-filings/content/0000050863-26-000008/intc-20251227.htm | https://ir.amd.com/financial-information/sec-filings/content/0000002488-26-000018/amd-20251227.htm | https://www.sec.gov/Archives/edgar/data/1045810/000104581025000086/nvda-20250126.htm | https://investor.qualcomm.com/financial-information/sec-filings/content/0000804328-24-000067/qcom-20240929.htm | https://investor.tsmc.com/english/financial-calendar | https://www.samsung.com/global/ir/financial-information/earnings-release/ | https://investor.ti.com/financial-information/annual-reports-and-proxies,https://www.precedenceresearch.com/automotive-semiconductor-market,Proxy estimate; company-level operating margin used as best available comparable for activity economics.
Client Computing / PCs,Apple; Intel; AMD; Microsoft; Qualcomm,15.5,25.6,Microsoft,44.6,25.6,220,56.32,"Revenue-weighted average of participating companies' latest operating margins (from filings), sanity-checked against median and best performer.",https://www.intc.com/filings-reports/all-sec-filings/content/0000050863-26-000008/intc-20251227.htm | https://ir.amd.com/financial-information/sec-filings/content/0000002488-26-000018/amd-20251227.htm | https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm | https://investor.qualcomm.com/financial-information/sec-filings/content/0000804328-24-000067/qcom-20240929.htm | https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,https://www.idc.com/getdoc.jsp?containerId=prUS52088124,Proxy estimate; company-level operating margin used as best available comparable for activity economics.
Data Center CPUs,Intel; AMD; IBM; Amazon; Google,7.44,13.65,Microsoft,44.6,13.65,95,12.97,"Revenue-weighted average of participating companies' latest operating margins (from filings), sanity-checked against median and best performer.",https://www.intc.com/filings-reports/all-sec-filings/content/0000050863-26-000008/intc-20251227.htm | https://ir.amd.com/financial-information/sec-filings/content/0000002488-26-000018/amd-20251227.htm | https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/1018724/000101872425000008/amzn-20241231.htm | https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm | https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm | https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/51143/000005114325000010/ibm-20241231.htm,https://www.mercuryresearch.com/,Proxy estimate; company-level operating margin used as best available comparable for activity economics.
Data Center GPUs,Nvidia; AMD; Intel,48.89,7.8,Nvidia,54.1,48.89,185,90.45,"Revenue-weighted average of participating companies' latest operating margins (from filings), sanity-checked against median and best performer.",https://www.intc.com/filings-reports/all-sec-filings/content/0000050863-26-000008/intc-20251227.htm | https://ir.amd.com/financial-information/sec-filings/content/0000002488-26-000018/amd-20251227.htm | https://www.sec.gov/Archives/edgar/data/1045810/000104581025000086/nvda-20250126.htm,https://www.idc.com/getdoc.jsp?containerId=prUS52662025,Proxy estimate; company-level operating margin used as best available comparable for activity economics.
Edge AI,Apple; Qualcomm; Intel; Samsung; Texas Instruments,21.47,17.05,Nvidia,54.1,21.47,72,15.46,"Revenue-weighted average of participating companies' latest operating margins (from filings), sanity-checked against median and best performer.",https://www.intc.com/filings-reports/all-sec-filings/content/0000050863-26-000008/intc-20251227.htm | https://ir.amd.com/financial-information/sec-filings/content/0000002488-26-000018/amd-20251227.htm | https://www.sec.gov/Archives/edgar/data/1045810/000104581025000086/nvda-20250126.htm | https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm | https://investor.qualcomm.com/financial-information/sec-filings/content/0000804328-24-000067/qcom-20240929.htm | https://www.samsung.com/global/ir/financial-information/earnings-release/ | https://investor.marvell.com/financial-information/sec-filings | https://investor.ti.com/financial-information/annual-reports-and-proxies,https://www.grandviewresearch.com/industry-analysis/edge-ai-market-report,Proxy estimate; company-level operating margin used as best available comparable for activity economics.
Electronic Design Automation Software,,0,0,N/A,0.0,0,21,0.0,"Revenue-weighted average of participating companies' latest operating margins (from filings), sanity-checked against median and best performer.",,https://www.semia.org/en/resources/semiconductor-market-data,Proxy estimate; company-level operating margin used as best available comparable for activity economics.
