activity,Intel,AMD,Nvidia,Apple,Qualcomm,Amazon,Google,Microsoft,TSMC,Samsung,Marvell,Micron,IBM,Texas Instruments,GlobalFoundries,SMIC
Foundry Services,participates=1; company_total_revenue_usd_bn=52.9; company_operating_margin_pct=-0.6; activity_revenue_estimate_usd_bn=4.8; source_ref=intel_financials,participates=0; company_total_revenue_usd_bn=34.6; company_operating_margin_pct=7.8; activity_revenue_estimate_usd_bn=0.0; source_ref=amd_financials,participates=0; company_total_revenue_usd_bn=60.9; company_operating_margin_pct=54.1; activity_revenue_estimate_usd_bn=0.0; source_ref=nvidia_financials,participates=0; company_total_revenue_usd_bn=391.0; company_operating_margin_pct=31.5; activity_revenue_estimate_usd_bn=0.0; source_ref=apple_financials,participates=0; company_total_revenue_usd_bn=38.96; company_operating_margin_pct=25.6; activity_revenue_estimate_usd_bn=0.0; source_ref=qualcomm_financials,participates=0; company_total_revenue_usd_bn=637.96; company_operating_margin_pct=10.8; activity_revenue_estimate_usd_bn=0.0; source_ref=amazon_financials,participates=0; company_total_revenue_usd_bn=350.0; company_operating_margin_pct=32.0; activity_revenue_estimate_usd_bn=0.0; source_ref=google_financials,participates=0; company_total_revenue_usd_bn=245.1; company_operating_margin_pct=44.6; activity_revenue_estimate_usd_bn=0.0; source_ref=microsoft_financials,participates=1; company_total_revenue_usd_bn=90.0; company_operating_margin_pct=42.0; activity_revenue_estimate_usd_bn=90.0; source_ref=tsmc_financials,participates=1; company_total_revenue_usd_bn=220.0; company_operating_margin_pct=8.5; activity_revenue_estimate_usd_bn=32.0; source_ref=samsung_financials,participates=0; company_total_revenue_usd_bn=5.5; company_operating_margin_pct=-7.0; activity_revenue_estimate_usd_bn=0.0; source_ref=marvell_financials,participates=0; company_total_revenue_usd_bn=25.1; company_operating_margin_pct=-2.0; activity_revenue_estimate_usd_bn=0.0; source_ref=micron_financials,participates=0; company_total_revenue_usd_bn=62.8; company_operating_margin_pct=16.5; activity_revenue_estimate_usd_bn=0.0; source_ref=ibm_financials,participates=0; company_total_revenue_usd_bn=15.64; company_operating_margin_pct=34.0; activity_revenue_estimate_usd_bn=0.0; source_ref=texas_instruments_financials,participates=1; company_total_revenue_usd_bn=6.75; company_operating_margin_pct=22.0; activity_revenue_estimate_usd_bn=6.75; source_ref=globalfoundries_financials,participates=1; company_total_revenue_usd_bn=8.03; company_operating_margin_pct=13.0; activity_revenue_estimate_usd_bn=8.03; source_ref=smic_financials
Advanced Packaging,participates=1; company_total_revenue_usd_bn=52.9; company_operating_margin_pct=-0.6; activity_revenue_estimate_usd_bn=2.0; source_ref=intel_financials,participates=1; company_total_revenue_usd_bn=34.6; company_operating_margin_pct=7.8; activity_revenue_estimate_usd_bn=1.2; source_ref=amd_financials,participates=1; company_total_revenue_usd_bn=60.9; company_operating_margin_pct=54.1; activity_revenue_estimate_usd_bn=2.0; source_ref=nvidia_financials,participates=0; company_total_revenue_usd_bn=391.0; company_operating_margin_pct=31.5; activity_revenue_estimate_usd_bn=0.0; source_ref=apple_financials,participates=1; company_total_revenue_usd_bn=38.96; company_operating_margin_pct=25.6; activity_revenue_estimate_usd_bn=0.8; source_ref=qualcomm_financials,participates=0; company_total_revenue_usd_bn=637.96; company_operating_margin_pct=10.8; activity_revenue_estimate_usd_bn=0.0; source_ref=amazon_financials,participates=0; company_total_revenue_usd_bn=350.0; company_operating_margin_pct=32.0; activity_revenue_estimate_usd_bn=0.0; source_ref=google_financials,participates=0; company_total_revenue_usd_bn=245.1; company_operating_margin_pct=44.6; activity_revenue_estimate_usd_bn=0.0; source_ref=microsoft_financials,participates=1; company_total_revenue_usd_bn=90.0; company_operating_margin_pct=42.0; activity_revenue_estimate_usd_bn=9.0; source_ref=tsmc_financials,participates=1; company_total_revenue_usd_bn=220.0; company_operating_margin_pct=8.5; activity_revenue_estimate_usd_bn=4.5; source_ref=samsung_financials,participates=1; company_total_revenue_usd_bn=5.5; company_operating_margin_pct=-7.0; activity_revenue_estimate_usd_bn=0.5; source_ref=marvell_financials,participates=0; company_total_revenue_usd_bn=25.1; company_operating_margin_pct=-2.0; activity_revenue_estimate_usd_bn=0.0; source_ref=micron_financials,participates=0; company_total_revenue_usd_bn=62.8; company_operating_margin_pct=16.5; activity_revenue_estimate_usd_bn=0.0; source_ref=ibm_financials,participates=0; company_total_revenue_usd_bn=15.64; company_operating_margin_pct=34.0; activity_revenue_estimate_usd_bn=0.0; source_ref=texas_instruments_financials,participates=0; company_total_revenue_usd_bn=6.75; company_operating_margin_pct=22.0; activity_revenue_estimate_usd_bn=0.0; source_ref=globalfoundries_financials,participates=0; company_total_revenue_usd_bn=8.03; company_operating_margin_pct=13.0; activity_revenue_estimate_usd_bn=0.0; source_ref=smic_financials
Client Computing / PCs,participates=1; company_total_revenue_usd_bn=52.9; company_operating_margin_pct=-0.6; activity_revenue_estimate_usd_bn=29.0; source_ref=intel_financials,participates=1; company_total_revenue_usd_bn=34.6; company_operating_margin_pct=7.8; activity_revenue_estimate_usd_bn=10.6; source_ref=amd_financials,participates=0; company_total_revenue_usd_bn=60.9; company_operating_margin_pct=54.1; activity_revenue_estimate_usd_bn=0.0; source_ref=nvidia_financials,participates=1; company_total_revenue_usd_bn=391.0; company_operating_margin_pct=31.5; activity_revenue_estimate_usd_bn=30.0; source_ref=apple_financials,participates=1; company_total_revenue_usd_bn=38.96; company_operating_margin_pct=25.6; activity_revenue_estimate_usd_bn=1.0; source_ref=qualcomm_financials,participates=0; company_total_revenue_usd_bn=637.96; company_operating_margin_pct=10.8; activity_revenue_estimate_usd_bn=0.0; source_ref=amazon_financials,participates=0; company_total_revenue_usd_bn=350.0; company_operating_margin_pct=32.0; activity_revenue_estimate_usd_bn=0.0; source_ref=google_financials,participates=1; company_total_revenue_usd_bn=245.1; company_operating_margin_pct=44.6; activity_revenue_estimate_usd_bn=2.0; source_ref=microsoft_financials,participates=0; company_total_revenue_usd_bn=90.0; company_operating_margin_pct=42.0; activity_revenue_estimate_usd_bn=0.0; source_ref=tsmc_financials,participates=0; company_total_revenue_usd_bn=220.0; company_operating_margin_pct=8.5; activity_revenue_estimate_usd_bn=0.0; source_ref=samsung_financials,participates=0; company_total_revenue_usd_bn=5.5; company_operating_margin_pct=-7.0; activity_revenue_estimate_usd_bn=0.0; source_ref=marvell_financials,participates=0; company_total_revenue_usd_bn=25.1; company_operating_margin_pct=-2.0; activity_revenue_estimate_usd_bn=0.0; source_ref=micron_financials,participates=0; company_total_revenue_usd_bn=62.8; company_operating_margin_pct=16.5; activity_revenue_estimate_usd_bn=0.0; source_ref=ibm_financials,participates=0; company_total_revenue_usd_bn=15.64; company_operating_margin_pct=34.0; activity_revenue_estimate_usd_bn=0.0; source_ref=texas_instruments_financials,participates=0; company_total_revenue_usd_bn=6.75; company_operating_margin_pct=22.0; activity_revenue_estimate_usd_bn=0.0; source_ref=globalfoundries_financials,participates=0; company_total_revenue_usd_bn=8.03; company_operating_margin_pct=13.0; activity_revenue_estimate_usd_bn=0.0; source_ref=smic_financials
Data Center CPUs,participates=1; company_total_revenue_usd_bn=52.9; company_operating_margin_pct=-0.6; activity_revenue_estimate_usd_bn=14.0; source_ref=intel_financials,participates=1; company_total_revenue_usd_bn=34.6; company_operating_margin_pct=7.8; activity_revenue_estimate_usd_bn=8.5; source_ref=amd_financials,participates=0; company_total_revenue_usd_bn=60.9; company_operating_margin_pct=54.1; activity_revenue_estimate_usd_bn=0.0; source_ref=nvidia_financials,participates=0; company_total_revenue_usd_bn=391.0; company_operating_margin_pct=31.5; activity_revenue_estimate_usd_bn=0.0; source_ref=apple_financials,participates=0; company_total_revenue_usd_bn=38.96; company_operating_margin_pct=25.6; activity_revenue_estimate_usd_bn=0.0; source_ref=qualcomm_financials,participates=1; company_total_revenue_usd_bn=637.96; company_operating_margin_pct=10.8; activity_revenue_estimate_usd_bn=2.5; source_ref=amazon_financials,participates=1; company_total_revenue_usd_bn=350.0; company_operating_margin_pct=32.0; activity_revenue_estimate_usd_bn=1.5; source_ref=google_financials,participates=1; company_total_revenue_usd_bn=245.1; company_operating_margin_pct=44.6; activity_revenue_estimate_usd_bn=1.0; source_ref=microsoft_financials,participates=0; company_total_revenue_usd_bn=90.0; company_operating_margin_pct=42.0; activity_revenue_estimate_usd_bn=0.0; source_ref=tsmc_financials,participates=0; company_total_revenue_usd_bn=220.0; company_operating_margin_pct=8.5; activity_revenue_estimate_usd_bn=0.0; source_ref=samsung_financials,participates=0; company_total_revenue_usd_bn=5.5; company_operating_margin_pct=-7.0; activity_revenue_estimate_usd_bn=0.0; source_ref=marvell_financials,participates=0; company_total_revenue_usd_bn=25.1; company_operating_margin_pct=-2.0; activity_revenue_estimate_usd_bn=0.0; source_ref=micron_financials,participates=1; company_total_revenue_usd_bn=62.8; company_operating_margin_pct=16.5; activity_revenue_estimate_usd_bn=3.0; source_ref=ibm_financials,participates=0; company_total_revenue_usd_bn=15.64; company_operating_margin_pct=34.0; activity_revenue_estimate_usd_bn=0.0; source_ref=texas_instruments_financials,participates=0; company_total_revenue_usd_bn=6.75; company_operating_margin_pct=22.0; activity_revenue_estimate_usd_bn=0.0; source_ref=globalfoundries_financials,participates=0; company_total_revenue_usd_bn=8.03; company_operating_margin_pct=13.0; activity_revenue_estimate_usd_bn=0.0; source_ref=smic_financials
Data Center GPUs,participates=1; company_total_revenue_usd_bn=52.9; company_operating_margin_pct=-0.6; activity_revenue_estimate_usd_bn=1.2; source_ref=intel_financials,participates=1; company_total_revenue_usd_bn=34.6; company_operating_margin_pct=7.8; activity_revenue_estimate_usd_bn=3.5; source_ref=amd_financials,participates=1; company_total_revenue_usd_bn=60.9; company_operating_margin_pct=54.1; activity_revenue_estimate_usd_bn=39.0; source_ref=nvidia_financials,participates=0; company_total_revenue_usd_bn=391.0; company_operating_margin_pct=31.5; activity_revenue_estimate_usd_bn=0.0; source_ref=apple_financials,participates=0; company_total_revenue_usd_bn=38.96; company_operating_margin_pct=25.6; activity_revenue_estimate_usd_bn=0.0; source_ref=qualcomm_financials,participates=0; company_total_revenue_usd_bn=637.96; company_operating_margin_pct=10.8; activity_revenue_estimate_usd_bn=0.0; source_ref=amazon_financials,participates=0; company_total_revenue_usd_bn=350.0; company_operating_margin_pct=32.0; activity_revenue_estimate_usd_bn=0.0; source_ref=google_financials,participates=0; company_total_revenue_usd_bn=245.1; company_operating_margin_pct=44.6; activity_revenue_estimate_usd_bn=0.0; source_ref=microsoft_financials,participates=0; company_total_revenue_usd_bn=90.0; company_operating_margin_pct=42.0; activity_revenue_estimate_usd_bn=0.0; source_ref=tsmc_financials,participates=0; company_total_revenue_usd_bn=220.0; company_operating_margin_pct=8.5; activity_revenue_estimate_usd_bn=0.0; source_ref=samsung_financials,participates=0; company_total_revenue_usd_bn=5.5; company_operating_margin_pct=-7.0; activity_revenue_estimate_usd_bn=0.0; source_ref=marvell_financials,participates=0; company_total_revenue_usd_bn=25.1; company_operating_margin_pct=-2.0; activity_revenue_estimate_usd_bn=0.0; source_ref=micron_financials,participates=0; company_total_revenue_usd_bn=62.8; company_operating_margin_pct=16.5; activity_revenue_estimate_usd_bn=0.0; source_ref=ibm_financials,participates=0; company_total_revenue_usd_bn=15.64; company_operating_margin_pct=34.0; activity_revenue_estimate_usd_bn=0.0; source_ref=texas_instruments_financials,participates=0; company_total_revenue_usd_bn=6.75; company_operating_margin_pct=22.0; activity_revenue_estimate_usd_bn=0.0; source_ref=globalfoundries_financials,participates=0; company_total_revenue_usd_bn=8.03; company_operating_margin_pct=13.0; activity_revenue_estimate_usd_bn=0.0; source_ref=smic_financials
AI/ML Accelerators,participates=1; company_total_revenue_usd_bn=52.9; company_operating_margin_pct=-0.6; activity_revenue_estimate_usd_bn=1.5; source_ref=intel_financials,participates=1; company_total_revenue_usd_bn=34.6; company_operating_margin_pct=7.8; activity_revenue_estimate_usd_bn=4.5; source_ref=amd_financials,participates=1; company_total_revenue_usd_bn=60.9; company_operating_margin_pct=54.1; activity_revenue_estimate_usd_bn=45.0; source_ref=nvidia_financials,participates=1; company_total_revenue_usd_bn=391.0; company_operating_margin_pct=31.5; activity_revenue_estimate_usd_bn=5.0; source_ref=apple_financials,participates=1; company_total_revenue_usd_bn=38.96; company_operating_margin_pct=25.6; activity_revenue_estimate_usd_bn=0.6; source_ref=qualcomm_financials,participates=1; company_total_revenue_usd_bn=637.96; company_operating_margin_pct=10.8; activity_revenue_estimate_usd_bn=3.0; source_ref=amazon_financials,participates=1; company_total_revenue_usd_bn=350.0; company_operating_margin_pct=32.0; activity_revenue_estimate_usd_bn=2.5; source_ref=google_financials,participates=1; company_total_revenue_usd_bn=245.1; company_operating_margin_pct=44.6; activity_revenue_estimate_usd_bn=1.2; source_ref=microsoft_financials,participates=0; company_total_revenue_usd_bn=90.0; company_operating_margin_pct=42.0; activity_revenue_estimate_usd_bn=0.0; source_ref=tsmc_financials,participates=0; company_total_revenue_usd_bn=220.0; company_operating_margin_pct=8.5; activity_revenue_estimate_usd_bn=0.0; source_ref=samsung_financials,participates=1; company_total_revenue_usd_bn=5.5; company_operating_margin_pct=-7.0; activity_revenue_estimate_usd_bn=0.7; source_ref=marvell_financials,participates=0; company_total_revenue_usd_bn=25.1; company_operating_margin_pct=-2.0; activity_revenue_estimate_usd_bn=0.0; source_ref=micron_financials,participates=1; company_total_revenue_usd_bn=62.8; company_operating_margin_pct=16.5; activity_revenue_estimate_usd_bn=1.0; source_ref=ibm_financials,participates=0; company_total_revenue_usd_bn=15.64; company_operating_margin_pct=34.0; activity_revenue_estimate_usd_bn=0.0; source_ref=texas_instruments_financials,participates=0; company_total_revenue_usd_bn=6.75; company_operating_margin_pct=22.0; activity_revenue_estimate_usd_bn=0.0; source_ref=globalfoundries_financials,participates=0; company_total_revenue_usd_bn=8.03; company_operating_margin_pct=13.0; activity_revenue_estimate_usd_bn=0.0; source_ref=smic_financials
Gaming Graphics,participates=1; company_total_revenue_usd_bn=52.9; company_operating_margin_pct=-0.6; activity_revenue_estimate_usd_bn=0.3; source_ref=intel_financials,participates=1; company_total_revenue_usd_bn=34.6; company_operating_margin_pct=7.8; activity_revenue_estimate_usd_bn=2.8; source_ref=amd_financials,participates=1; company_total_revenue_usd_bn=60.9; company_operating_margin_pct=54.1; activity_revenue_estimate_usd_bn=11.0; source_ref=nvidia_financials,participates=0; company_total_revenue_usd_bn=391.0; company_operating_margin_pct=31.5; activity_revenue_estimate_usd_bn=0.0; source_ref=apple_financials,participates=0; company_total_revenue_usd_bn=38.96; company_operating_margin_pct=25.6; activity_revenue_estimate_usd_bn=0.0; source_ref=qualcomm_financials,participates=0; company_total_revenue_usd_bn=637.96; company_operating_margin_pct=10.8; activity_revenue_estimate_usd_bn=0.0; source_ref=amazon_financials,participates=0; company_total_revenue_usd_bn=350.0; company_operating_margin_pct=32.0; activity_revenue_estimate_usd_bn=0.0; source_ref=google_financials,participates=0; company_total_revenue_usd_bn=245.1; company_operating_margin_pct=44.6; activity_revenue_estimate_usd_bn=0.0; source_ref=microsoft_financials,participates=0; company_total_revenue_usd_bn=90.0; company_operating_margin_pct=42.0; activity_revenue_estimate_usd_bn=0.0; source_ref=tsmc_financials,participates=0; company_total_revenue_usd_bn=220.0; company_operating_margin_pct=8.5; activity_revenue_estimate_usd_bn=0.0; source_ref=samsung_financials,participates=0; company_total_revenue_usd_bn=5.5; company_operating_margin_pct=-7.0; activity_revenue_estimate_usd_bn=0.0; source_ref=marvell_financials,participates=0; company_total_revenue_usd_bn=25.1; company_operating_margin_pct=-2.0; activity_revenue_estimate_usd_bn=0.0; source_ref=micron_financials,participates=0; company_total_revenue_usd_bn=62.8; company_operating_margin_pct=16.5; activity_revenue_estimate_usd_bn=0.0; source_ref=ibm_financials,participates=0; company_total_revenue_usd_bn=15.64; company_operating_margin_pct=34.0; activity_revenue_estimate_usd_bn=0.0; source_ref=texas_instruments_financials,participates=0; company_total_revenue_usd_bn=6.75; company_operating_margin_pct=22.0; activity_revenue_estimate_usd_bn=0.0; source_ref=globalfoundries_financials,participates=0; company_total_revenue_usd_bn=8.03; company_operating_margin_pct=13.0; activity_revenue_estimate_usd_bn=0.0; source_ref=smic_financials
Networking & Interconnect,participates=1; company_total_revenue_usd_bn=52.9; company_operating_margin_pct=-0.6; activity_revenue_estimate_usd_bn=5.0; source_ref=intel_financials,participates=1; company_total_revenue_usd_bn=34.6; company_operating_margin_pct=7.8; activity_revenue_estimate_usd_bn=1.0; source_ref=amd_financials,participates=1; company_total_revenue_usd_bn=60.9; company_operating_margin_pct=54.1; activity_revenue_estimate_usd_bn=12.0; source_ref=nvidia_financials,participates=0; company_total_revenue_usd_bn=391.0; company_operating_margin_pct=31.5; activity_revenue_estimate_usd_bn=0.0; source_ref=apple_financials,participates=1; company_total_revenue_usd_bn=38.96; company_operating_margin_pct=25.6; activity_revenue_estimate_usd_bn=1.5; source_ref=qualcomm_financials,participates=0; company_total_revenue_usd_bn=637.96; company_operating_margin_pct=10.8; activity_revenue_estimate_usd_bn=0.0; source_ref=amazon_financials,participates=0; company_total_revenue_usd_bn=350.0; company_operating_margin_pct=32.0; activity_revenue_estimate_usd_bn=0.0; source_ref=google_financials,participates=0; company_total_revenue_usd_bn=245.1; company_operating_margin_pct=44.6; activity_revenue_estimate_usd_bn=0.0; source_ref=microsoft_financials,participates=1; company_total_revenue_usd_bn=90.0; company_operating_margin_pct=42.0; activity_revenue_estimate_usd_bn=2.0; source_ref=tsmc_financials,participates=0; company_total_revenue_usd_bn=220.0; company_operating_margin_pct=8.5; activity_revenue_estimate_usd_bn=0.0; source_ref=samsung_financials,participates=1; company_total_revenue_usd_bn=5.5; company_operating_margin_pct=-7.0; activity_revenue_estimate_usd_bn=3.0; source_ref=marvell_financials,participates=0; company_total_revenue_usd_bn=25.1; company_operating_margin_pct=-2.0; activity_revenue_estimate_usd_bn=0.0; source_ref=micron_financials,participates=0; company_total_revenue_usd_bn=62.8; company_operating_margin_pct=16.5; activity_revenue_estimate_usd_bn=0.0; source_ref=ibm_financials,participates=0; company_total_revenue_usd_bn=15.64; company_operating_margin_pct=34.0; activity_revenue_estimate_usd_bn=0.0; source_ref=texas_instruments_financials,participates=0; company_total_revenue_usd_bn=6.75; company_operating_margin_pct=22.0; activity_revenue_estimate_usd_bn=0.0; source_ref=globalfoundries_financials,participates=0; company_total_revenue_usd_bn=8.03; company_operating_margin_pct=13.0; activity_revenue_estimate_usd_bn=0.0; source_ref=smic_financials
Autonomous Vehicles & ADAS,participates=1; company_total_revenue_usd_bn=52.9; company_operating_margin_pct=-0.6; activity_revenue_estimate_usd_bn=1.0; source_ref=intel_financials,participates=1; company_total_revenue_usd_bn=34.6; company_operating_margin_pct=7.8; activity_revenue_estimate_usd_bn=0.2; source_ref=amd_financials,participates=1; company_total_revenue_usd_bn=60.9; company_operating_margin_pct=54.1; activity_revenue_estimate_usd_bn=1.8; source_ref=nvidia_financials,participates=0; company_total_revenue_usd_bn=391.0; company_operating_margin_pct=31.5; activity_revenue_estimate_usd_bn=0.0; source_ref=apple_financials,participates=1; company_total_revenue_usd_bn=38.96; company_operating_margin_pct=25.6; activity_revenue_estimate_usd_bn=2.2; source_ref=qualcomm_financials,participates=0; company_total_revenue_usd_bn=637.96; company_operating_margin_pct=10.8; activity_revenue_estimate_usd_bn=0.0; source_ref=amazon_financials,participates=0; company_total_revenue_usd_bn=350.0; company_operating_margin_pct=32.0; activity_revenue_estimate_usd_bn=0.0; source_ref=google_financials,participates=0; company_total_revenue_usd_bn=245.1; company_operating_margin_pct=44.6; activity_revenue_estimate_usd_bn=0.0; source_ref=microsoft_financials,participates=1; company_total_revenue_usd_bn=90.0; company_operating_margin_pct=42.0; activity_revenue_estimate_usd_bn=1.5; source_ref=tsmc_financials,participates=1; company_total_revenue_usd_bn=220.0; company_operating_margin_pct=8.5; activity_revenue_estimate_usd_bn=1.2; source_ref=samsung_financials,participates=0; company_total_revenue_usd_bn=5.5; company_operating_margin_pct=-7.0; activity_revenue_estimate_usd_bn=0.0; source_ref=marvell_financials,participates=0; company_total_revenue_usd_bn=25.1; company_operating_margin_pct=-2.0; activity_revenue_estimate_usd_bn=0.0; source_ref=micron_financials,participates=0; company_total_revenue_usd_bn=62.8; company_operating_margin_pct=16.5; activity_revenue_estimate_usd_bn=0.0; source_ref=ibm_financials,participates=1; company_total_revenue_usd_bn=15.64; company_operating_margin_pct=34.0; activity_revenue_estimate_usd_bn=1.0; source_ref=texas_instruments_financials,participates=0; company_total_revenue_usd_bn=6.75; company_operating_margin_pct=22.0; activity_revenue_estimate_usd_bn=0.0; source_ref=globalfoundries_financials,participates=0; company_total_revenue_usd_bn=8.03; company_operating_margin_pct=13.0; activity_revenue_estimate_usd_bn=0.0; source_ref=smic_financials
HPC & Scientific Computing,participates=1; company_total_revenue_usd_bn=52.9; company_operating_margin_pct=-0.6; activity_revenue_estimate_usd_bn=2.0; source_ref=intel_financials,participates=1; company_total_revenue_usd_bn=34.6; company_operating_margin_pct=7.8; activity_revenue_estimate_usd_bn=2.0; source_ref=amd_financials,participates=1; company_total_revenue_usd_bn=60.9; company_operating_margin_pct=54.1; activity_revenue_estimate_usd_bn=6.0; source_ref=nvidia_financials,participates=0; company_total_revenue_usd_bn=391.0; company_operating_margin_pct=31.5; activity_revenue_estimate_usd_bn=0.0; source_ref=apple_financials,participates=0; company_total_revenue_usd_bn=38.96; company_operating_margin_pct=25.6; activity_revenue_estimate_usd_bn=0.0; source_ref=qualcomm_financials,participates=1; company_total_revenue_usd_bn=637.96; company_operating_margin_pct=10.8; activity_revenue_estimate_usd_bn=0.6; source_ref=amazon_financials,participates=1; company_total_revenue_usd_bn=350.0; company_operating_margin_pct=32.0; activity_revenue_estimate_usd_bn=0.5; source_ref=google_financials,participates=1; company_total_revenue_usd_bn=245.1; company_operating_margin_pct=44.6; activity_revenue_estimate_usd_bn=0.6; source_ref=microsoft_financials,participates=0; company_total_revenue_usd_bn=90.0; company_operating_margin_pct=42.0; activity_revenue_estimate_usd_bn=0.0; source_ref=tsmc_financials,participates=0; company_total_revenue_usd_bn=220.0; company_operating_margin_pct=8.5; activity_revenue_estimate_usd_bn=0.0; source_ref=samsung_financials,participates=0; company_total_revenue_usd_bn=5.5; company_operating_margin_pct=-7.0; activity_revenue_estimate_usd_bn=0.0; source_ref=marvell_financials,participates=0; company_total_revenue_usd_bn=25.1; company_operating_margin_pct=-2.0; activity_revenue_estimate_usd_bn=0.0; source_ref=micron_financials,participates=1; company_total_revenue_usd_bn=62.8; company_operating_margin_pct=16.5; activity_revenue_estimate_usd_bn=1.5; source_ref=ibm_financials,participates=0; company_total_revenue_usd_bn=15.64; company_operating_margin_pct=34.0; activity_revenue_estimate_usd_bn=0.0; source_ref=texas_instruments_financials,participates=0; company_total_revenue_usd_bn=6.75; company_operating_margin_pct=22.0; activity_revenue_estimate_usd_bn=0.0; source_ref=globalfoundries_financials,participates=0; company_total_revenue_usd_bn=8.03; company_operating_margin_pct=13.0; activity_revenue_estimate_usd_bn=0.0; source_ref=smic_financials
Edge AI,participates=1; company_total_revenue_usd_bn=52.9; company_operating_margin_pct=-0.6; activity_revenue_estimate_usd_bn=2.0; source_ref=intel_financials,participates=1; company_total_revenue_usd_bn=34.6; company_operating_margin_pct=7.8; activity_revenue_estimate_usd_bn=0.8; source_ref=amd_financials,participates=1; company_total_revenue_usd_bn=60.9; company_operating_margin_pct=54.1; activity_revenue_estimate_usd_bn=1.0; source_ref=nvidia_financials,participates=1; company_total_revenue_usd_bn=391.0; company_operating_margin_pct=31.5; activity_revenue_estimate_usd_bn=4.0; source_ref=apple_financials,participates=1; company_total_revenue_usd_bn=38.96; company_operating_margin_pct=25.6; activity_revenue_estimate_usd_bn=2.5; source_ref=qualcomm_financials,participates=0; company_total_revenue_usd_bn=637.96; company_operating_margin_pct=10.8; activity_revenue_estimate_usd_bn=0.0; source_ref=amazon_financials,participates=0; company_total_revenue_usd_bn=350.0; company_operating_margin_pct=32.0; activity_revenue_estimate_usd_bn=0.0; source_ref=google_financials,participates=0; company_total_revenue_usd_bn=245.1; company_operating_margin_pct=44.6; activity_revenue_estimate_usd_bn=0.0; source_ref=microsoft_financials,participates=0; company_total_revenue_usd_bn=90.0; company_operating_margin_pct=42.0; activity_revenue_estimate_usd_bn=0.0; source_ref=tsmc_financials,participates=1; company_total_revenue_usd_bn=220.0; company_operating_margin_pct=8.5; activity_revenue_estimate_usd_bn=2.0; source_ref=samsung_financials,participates=1; company_total_revenue_usd_bn=5.5; company_operating_margin_pct=-7.0; activity_revenue_estimate_usd_bn=0.6; source_ref=marvell_financials,participates=0; company_total_revenue_usd_bn=25.1; company_operating_margin_pct=-2.0; activity_revenue_estimate_usd_bn=0.0; source_ref=micron_financials,participates=0; company_total_revenue_usd_bn=62.8; company_operating_margin_pct=16.5; activity_revenue_estimate_usd_bn=0.0; source_ref=ibm_financials,participates=1; company_total_revenue_usd_bn=15.64; company_operating_margin_pct=34.0; activity_revenue_estimate_usd_bn=1.2; source_ref=texas_instruments_financials,participates=0; company_total_revenue_usd_bn=6.75; company_operating_margin_pct=22.0; activity_revenue_estimate_usd_bn=0.0; source_ref=globalfoundries_financials,participates=0; company_total_revenue_usd_bn=8.03; company_operating_margin_pct=13.0; activity_revenue_estimate_usd_bn=0.0; source_ref=smic_financials
